UNICODE	文字	重複数	Win31J代表コード	Win31J副コード
FA0E	﨎	2	FA90:#CJK COMPATIBILITY IDEOGRAPH	ED73
FA0F	﨏	2	FA9B:#CJK COMPATIBILITY IDEOGRAPH	ED7E
FA10	塚	2	FA9C:#CJK COMPATIBILITY IDEOGRAPH	ED80
FA11	﨑	2	FAB1:#CJK COMPATIBILITY IDEOGRAPH	ED95
FA12	晴	2	FAD8:#CJK COMPATIBILITY IDEOGRAPH	EDBC
FA13	﨓	2	FAE8:#CJK COMPATIBILITY IDEOGRAPH	EDCC
FA14	﨔	2	FAEA:#CJK COMPATIBILITY IDEOGRAPH	EDCE
FA15	凞	2	FB58:#CJK COMPATIBILITY IDEOGRAPH	EDF9
FA16	猪	2	FB5E:#CJK COMPATIBILITY IDEOGRAPH	EE42
FA17	益	2	FB75:#CJK COMPATIBILITY IDEOGRAPH	EE59
FA18	礼	2	FB7D:#CJK COMPATIBILITY IDEOGRAPH	EE61
FA19	神	2	FB7E:#CJK COMPATIBILITY IDEOGRAPH	EE62
FA1A	祥	2	FB80:#CJK COMPATIBILITY IDEOGRAPH	EE63
FA1B	福	2	FB82:#CJK COMPATIBILITY IDEOGRAPH	EE65
FA1C	靖	2	FB86:#CJK COMPATIBILITY IDEOGRAPH	EE69
FA1D	精	2	FB89:#CJK COMPATIBILITY IDEOGRAPH	EE6C
FA1E	羽	2	FB92:#CJK COMPATIBILITY IDEOGRAPH	EE75
FA1F	﨟	2	FB9D:#CJK COMPATIBILITY IDEOGRAPH	EE81
FA20	蘒	2	FB9F:#CJK COMPATIBILITY IDEOGRAPH	EE83
FA21	﨡	2	FBA0:#CJK COMPATIBILITY IDEOGRAPH	EE84
FA22	諸	2	FBA9:#CJK COMPATIBILITY IDEOGRAPH	EE8D
FA23	﨣	2	FBB1:#CJK COMPATIBILITY IDEOGRAPH	EE95
FA24	﨤	2	FBB3:#CJK COMPATIBILITY IDEOGRAPH	EE97
FA25	逸	2	FBB4:#CJK COMPATIBILITY IDEOGRAPH	EE98
FA26	都	2	FBB7:#CJK COMPATIBILITY IDEOGRAPH	EE9B
FA27	﨧	2	FBD3:#CJK COMPATIBILITY IDEOGRAPH	EEB7
FA28	﨨	2	FBDA:#CJK COMPATIBILITY IDEOGRAPH	EEBE
FA29	﨩	2	FBEA:#CJK COMPATIBILITY IDEOGRAPH	EECE
FA2A	飯	2	FBF6:#CJK COMPATIBILITY IDEOGRAPH	EEDA
FA2B	飼	2	FBF7:#CJK COMPATIBILITY IDEOGRAPH	EEDB
FA2C	館	2	FBF9:#CJK COMPATIBILITY IDEOGRAPH	EEDD
FA2D	鶴	2	FC49:#CJK COMPATIBILITY IDEOGRAPH	EEEA
FF02	＂	2	FA57:#FULLWIDTH QUOTATION MARK	EEFC
FF07	＇	2	FA56:#FULLWIDTH APOSTROPHE	EEFB
FFE2	￢	3	81CA:#FULLWIDTH NOT SIGN	EEF9,FA54
FFE4	￤	2	FA55:#FULLWIDTH BROKEN BAR	EEFA
